Algorithm,Params,EvaluationMethod,TP,FP,FN,Precision,Recall,F1-Score,GT_Relevant,Predicted_Boxes,Timestamp,Seed,TotalSimTime,NumInitialObstacles,AgentSpeed,LiDAR_Range,PaddingCells,ClusteringTime_sec,LiDAR_Noise_Enabled,LiDAR_Noise_Level
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,15,9,37,0.625,0.288,0.395,52,24,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,11,18,41,0.379,0.212,0.272,52,29,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 52, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,10,30,42,0.25,0.192,0.217,52,40,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
GMM,"{'n_components': 52, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,12,22,40,0.353,0.231,0.279,52,34,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,23,1,29,0.958,0.442,0.605,52,24,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,22,7,30,0.759,0.423,0.543,52,29,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 52, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,24,16,28,0.6,0.462,0.522,52,40,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
GMM,"{'n_components': 52, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,25,9,27,0.735,0.481,0.581,52,34,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,24,0,28,1.0,0.462,0.632,52,24,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,24,5,28,0.828,0.462,0.593,52,29,2025-05-22 12:32:43,5,20.0,60,20,30,1,,,
